loss,accuracy,lr
1.5554590824206755,0.5,0.01
1.582242993709501,0.5,0.01
1.5104124307372035,0.4375,0.01
1.3631620198709213,0.59375,0.01
1.3737544291410662,0.65625,0.01
1.2482982211228315,0.6875,0.01
1.7367656529842583,0.4375,0.01
1.617887715491631,0.5625,0.01
1.5908400799331208,0.5,0.01
1.542375866311796,0.53125,0.01
1.5252737514956993,0.59375,0.01
1.7522846649882748,0.53125,0.01
1.1114212103328653,0.71875,0.01
1.1798585999897782,0.78125,0.01
1.1972711023331764,0.78125,0.01
1.3065889877528483,0.6875,0.01
1.803119569129311,0.375,0.01
1.6304189643853864,0.53125,0.01
1.6902427854397735,0.53125,0.01
1.9167497979742638,0.40625,0.01
1.2455276141763711,0.59375,0.01
1.4350629435621625,0.53125,0.01
1.412500392849048,0.5,0.01
1.4416786516746478,0.53125,0.01
1.4310504275515241,0.625,0.01
1.5533243123021498,0.53125,0.01
1.6851442401000745,0.5,0.01
1.326106576162034,0.6875,0.01
1.4933275856891854,0.65625,0.01
1.6111587317706806,0.46875,0.01
1.3930971509914072,0.59375,0.01
1.562089407958466,0.53125,0.01
1.6506412910855848,0.5625,0.01
1.5235162149475663,0.59375,0.01
1.4037385243082028,0.65625,0.01
1.3151752165319328,0.65625,0.01
1.394686156110583,0.53125,0.01
1.282213557414359,0.65625,0.01
1.270924453646424,0.59375,0.01
1.6292051957596776,0.5,0.01
1.1826474186826985,0.625,0.01
1.4900301263713167,0.59375,0.01
1.2710024956721004,0.6875,0.01
1.5169036481321931,0.53125,0.01
1.2706202381340104,0.65625,0.01
1.491347323038283,0.59375,0.01
1.6163950974856789,0.40625,0.01
1.5948673462276564,0.375,0.01
1.2750447158487714,0.59375,0.01
1.267490544843315,0.6875,0.01
1.3500010838647356,0.75,0.01
1.2757373890962624,0.65625,0.01
1.3666619632997272,0.625,0.01
1.2591096038178065,0.625,0.01
1.722865826219291,0.4375,0.01
1.396536763695366,0.5,0.01
1.240540615367065,0.6875,0.01
1.2970895482498546,0.6875,0.01
1.3451080016986061,0.625,0.01
1.2683461079501734,0.6875,0.01
1.4359703334183465,0.625,0.01
1.1711285890504881,0.59375,0.01
1.2269920282682611,0.78125,0.01
1.1929235074472069,0.78125,0.01
1.5055778033029192,0.53125,0.01
1.4418226086740011,0.625,0.01
1.1442247812546584,0.78125,0.01
1.053894198311871,0.6875,0.01
1.123973316347645,0.65625,0.01
1.715157708092524,0.5,0.01
1.4198509978803733,0.5625,0.01
1.274945048903209,0.625,0.01
1.4323376142458886,0.46875,0.01
1.3926388230008038,0.5625,0.01
1.5999455333049089,0.5,0.01
1.164524430214477,0.59375,0.01
1.0381560594539028,0.78125,0.01
0.9457336844864228,0.8125,0.01
1.2386008093491616,0.625,0.01
1.5553648469681396,0.59375,0.01
1.4378517719170278,0.65625,0.01
1.4124697833943134,0.59375,0.01
1.57007038668212,0.59375,0.01
1.657291424434846,0.5,0.01
1.395451627637832,0.625,0.01
1.1488174700150724,0.59375,0.01
1.748546824636916,0.46875,0.01
1.1341392447656506,0.65625,0.01
1.4427591253278422,0.65625,0.01
1.5019606788221624,0.5625,0.01
1.4133389250604693,0.59375,0.01
1.1813197966673041,0.71875,0.01
1.292990122045525,0.59375,0.01
1.2645891305633432,0.65625,0.01
1.301191076277136,0.65625,0.01
1.1607342715711733,0.65625,0.01
1.5234331739255729,0.46875,0.01
1.4673665547836934,0.5625,0.01
1.1161698785929475,0.75,0.01
1.0866396542673564,0.71875,0.01
